ts,q,th
1.0,0.3,98.6281
2.0,0.3,98.6281
3.0,0.3,98.6281
4.0,0.3,98.6281
5.0,0.3,98.6281
6.0,0.3,98.6281
7.0,0.3,98.6281
8.0,0.3,98.6281
9.0,0.3,98.6281
10.0,0.3,98.6281
11.0,0.3,98.6281
12.0,0.3,98.6281
13.0,0.3,98.6281
14.0,0.3,98.6281
15.0,0.3,98.6281
16.0,0.3,98.6281
17.0,0.3,98.6281
18.0,0.3,98.6281
19.0,0.3,98.6281
20.0,0.3,98.6281
21.0,0.3,98.6281
22.0,0.3,98.6281
23.0,0.3,98.6281
24.0,0.3,98.6281
25.0,0.3,98.6281
26.0,0.3,98.6281
27.0,0.3,98.6281
28.0,0.3,98.6281
29.0,0.3,98.6281
30.0,0.3,98.6281
31.0,0.3,98.6281
32.0,0.3,98.6281
33.0,0.3,98.6281
34.0,0.3,98.6281
35.0,0.3,98.6281
36.0,0.3,98.6281
37.0,0.3,98.6281
38.0,0.3,98.6281
39.0,0.3,98.6281
40.0,0.3,98.6281
41.0,0.3,98.6281
42.0,0.3,98.6281
43.0,0.3,98.6281
44.0,0.3,98.6281
45.0,0.3,98.6281
46.0,0.3,98.6281
47.0,0.3,98.6281
48.0,0.3,98.6281
49.0,0.3,98.6281
50.0,0.3,98.6281
51.0,0.3,98.6281
52.0,0.3,98.6281
53.0,0.3,98.6281
54.0,0.3,98.6281
55.0,0.3,98.6281
56.0,0.3,98.6281
57.0,0.3,98.6281
58.0,0.3,98.6281
59.0,0.3,98.6281
60.0,0.3,98.6281
61.0,0.3,98.6281
62.0,0.3,98.6281
63.0,0.3,98.6281
64.0,0.3,98.6281
65.0,0.3,98.6281
66.0,0.3,98.6281
67.0,0.3,98.6281
68.0,0.3,98.6281
69.0,0.3,98.6281
70.0,0.3,98.6281
71.0,0.3,98.6281
72.0,0.3,98.6281
73.0,0.3,98.6281
74.0,0.3,98.6281
75.0,0.3,98.6281
76.0,0.3,98.6281
77.0,0.3,98.6281
78.0,0.3,98.6281
79.0,0.3,98.6281
80.0,0.3,98.6281
81.0,0.3,98.6281
82.0,0.3,98.6281
83.0,0.3,98.6281
84.0,0.3,98.6281
85.0,0.3,98.6281
86.0,0.3,98.6281
87.0,0.3,98.6281
88.0,0.3,98.6281
89.0,0.3,98.6281
90.0,0.3,98.6281
91.0,0.3,98.6281
92.0,0.3,98.6281
93.0,0.3,98.6281
94.0,0.3,98.6281
95.0,0.3,98.6281
96.0,0.3,98.6281
97.0,0.3,98.6281
98.0,0.3,98.6281
99.0,0.3,98.6281
100.0,0.3,98.6281
101.0,0.29297331,98.6456
102.0,0.30356429,98.6379
103.0,0.30652636,98.6207
104.0,0.30215671,98.6141
105.0,0.29736104,98.6202
106.0,0.3180244,98.5742
107.0,0.29357016,98.5871
108.0,0.30109555,98.5823
109.0,0.29280962,98.5917
110.0,0.30420628,98.5853
111.0,0.28068866,98.6433
112.0,0.306603,98.6381
113.0,0.2889749,98.6689
114.0,0.29897029,98.6948
115.0,0.28940198,98.7285
116.0,0.28761434,98.7569
117.0,0.28110764,98.7972
118.0,0.29026415,98.8188
119.0,0.30212116,98.7958
120.0,0.30493442,98.7706
121.0,0.31547177,98.7184
122.0,0.30644933,98.6851
123.0,0.27851641,98.7166
124.0,0.28971155,98.714
125.0,0.29858418,98.6779
126.0,0.27473294,98.7104
