u,y
0.22183165,-0.1770363
0.039027807,-0.11470789
-0.050295887,-0.017257803
0.0085386224,0.073360924
0.072431159,0.12806267
-0.0017082198,0.13650217
-0.17176287,0.10539571
-0.26198104,0.054901306
-0.17194108,0.010347593
0.018566868,-0.014210364
0.15625362,-0.029316079
0.17463811,-0.05981841
0.1156445,-0.11287079
0.028779248,-0.15651256
-0.084265993,-0.13759239
-0.20978501,-0.031325918
-0.26591828,0.12118952
-0.1726868,0.22925439
0.021525013,0.21688928
0.14363602,0.08328085
0.073101431,-0.090968958
-0.10259212,-0.19863421
-0.16380473,-0.17919413
-0.010021167,-0.054874063
0.20263451,0.091323774
0.21983417,0.17241745
-0.021636523,0.14973591
-0.30986057,0.051202694
-0.38521982,-0.050722214
-0.21785179,-0.086474562
-0.014761096,-0.036675604
0.03700518,0.050794719
-0.028119028,0.092852996
-0.042167901,0.035475423
0.052117694,-0.098019853
0.12023747,-0.21560266
0.018863385,-0.22054921
-0.19506434,-0.08420743
-0.30192175,0.12773783
-0.17000747,0.29411889
0.080740471,0.31432928
0.20188076,0.1718362
0.085108288,-0.053673166
-0.1327097,-0.23087548
-0.23646822,-0.25206313
-0.16505385,-0.099556443
-0.047448014,0.13579254
-0.027886815,0.3030236
-0.10152026,0.2834521
-0.14155374,0.069698019
-0.061650823,-0.22311064
0.083519614,-0.42606792
0.1592665,-0.41979542
0.08614276,-0.20235411
-0.094385381,0.11680679
-0.26609066,0.38269042
-0.32883874,0.47499251
-0.2590805,0.36130151
-0.1164894,0.10698485
-0.0030653766,-0.15666457
0.010326675,-0.29684785
-0.053445909,-0.25130444
-0.092412724,-0.067456399
-0.030279541,0.12329504
0.084846832,0.1896835
0.11133075,0.089456729
-0.03213525,-0.10185072
-0.25308181,-0.24339863
-0.35670882,-0.22562726
-0.2445886,-0.045215735
-0.025254261,0.19190737
0.093714332,0.33930982
0.018643667,0.3036001
-0.14592119,0.10486525
-0.2273088,-0.13364785
-0.1714006,-0.26276635
-0.074131665,-0.20355127
-0.039669515,-0.0010514338
-0.051266129,0.20109829
-0.011752833,0.25410141
0.10785565,0.1053864
0.20665525,-0.16182684
0.16117322,-0.37724711
-0.026938653,-0.38906986
-0.21941152,-0.16075631
-0.27753567,0.20065197
-0.18805912,0.50030087
-0.046845025,0.56260189
0.058585698,0.33306758
0.12218407,-0.081981699
0.17838638,-0.46637054
0.22169815,-0.61157444
0.19825589,-0.43578631
0.080215288,-0.034787751
-0.072135308,0.36943357
-0.1438152,0.55331393
-0.068724371,0.41651911
0.10191205,0.038203811
0.23766633,-0.36624642
0.23876101,-0.56531588
0.11678077,-0.44111547
-0.020428168,-0.057977077
-0.058973233,0.36800859
0.0313269,0.58749279
0.17391495,0.46334166
0.2455857,0.059154789
0.17650262,-0.38817476
0.012444292,-0.60585734
-0.11538234,-0.45438072
-0.09591797,-0.021770889
0.064762165,0.42269933
0.24258524,0.59388393
0.30102251,0.37277877
0.2122296,-0.11367643
0.078706189,-0.56785416
0.031500466,-0.70538273
0.10297577,-0.43261293
0.19875173,0.095667577
0.19434906,0.57311674
0.058146667,0.72849359
-0.11941921,0.48697304
-0.21038478,0.0090040534
-0.15594967,-0.41643634
0.0018552198,-0.55375692
0.16878529,-0.36053568
0.25937416,0.0010675442
0.22516346,0.28391467
0.066144472,0.32050851
-0.15623019,0.12014875
-0.33161105,-0.15499683
-0.36695732,-0.3063659
-0.26565333,-0.2284545
-0.13254832,0.030168597
-0.080101064,0.30447079
-0.12531889,0.41814633
-0.18843171,0.29408146
-0.19038956,0.0033795396
-0.13230055,-0.28043536
-0.070889306,-0.39163122
-0.03967928,-0.27524621
-0.026286077,-0.016330862
-0.02363077,0.22338646
-0.060652834,0.31163298
-0.1492925,0.21884631
-0.22155095,0.02003446
-0.17331044,-0.1624416
0.0052693564,-0.23122765
0.17683919,-0.15928083
0.1824469,0.0045460308
0.025118458,0.16378113
-0.11051051,0.22566835
-0.051764984,0.15187573
0.16342054,-0.018633628
0.31563281,-0.18835877
0.23808751,-0.25597784
-0.0044871135,-0.1756816
